scenario,time,cw_coherence,pulse_coherence,cw_population,pulse_population
excellent_qubit,86.288,0.00183594,0.00459761,0.00000000,0.00000000
excellent_qubit,86.789,0.00099062,0.00457460,0.00000000,0.00000000
excellent_qubit,87.291,0.00278208,0.00455171,0.00000000,0.00000000
excellent_qubit,87.793,0.00049224,0.00452893,0.00000000,0.00000000
excellent_qubit,88.294,0.00100715,0.00450627,0.00000000,0.00000000
excellent_qubit,88.796,0.00185757,0.00448372,0.00000000,0.00000000
excellent_qubit,89.298,0.00103094,0.00446128,0.00000000,0.00000000
excellent_qubit,89.799,0.00274963,0.00443896,0.00000000,0.00000000
excellent_qubit,90.301,0.00047568,0.00441674,0.00000000,0.00000000
excellent_qubit,90.803,0.00093720,0.00439464,0.00000000,0.00000000
excellent_qubit,91.304,0.00187914,0.00437265,0.00000000,0.00000000
excellent_qubit,91.806,0.00106965,0.00435077,0.00000000,0.00000000
excellent_qubit,92.308,0.00271653,0.00432900,0.00000000,0.00000000
excellent_qubit,92.809,0.00045780,0.00430733,0.00000000,0.00000000
excellent_qubit,93.311,0.00086763,0.00428578,0.00000000,0.00000000
excellent_qubit,93.813,0.00190060,0.00426433,0.00000000,0.00000000
excellent_qubit,94.314,0.00110675,0.00424299,0.00000000,0.00000000
excellent_qubit,94.816,0.00268278,0.00422176,0.00000000,0.00000000
excellent_qubit,95.318,0.00043863,0.00420063,0.00000000,0.00000000
excellent_qubit,95.819,0.00079844,0.00417961,0.00000000,0.00000000
excellent_qubit,96.321,0.00192192,0.00415870,0.00000000,0.00000000
excellent_qubit,96.823,0.00114224,0.00413789,0.00000000,0.00000000
excellent_qubit,97.324,0.00264837,0.00411718,0.00000000,0.00000000
excellent_qubit,97.826,0.00041822,0.00409658,0.00000000,0.00000000
excellent_qubit,98.328,0.00072966,0.00407608,0.00000000,0.00000000
excellent_qubit,98.829,0.00194305,0.00405568,0.00000000,0.00000000
excellent_qubit,99.331,0.00117612,0.00403538,0.00000000,0.00000000
excellent_qubit,99.833,0.00261331,0.00401519,0.00000000,0.00000000
excellent_qubit,100.334,0.00039659,0.00399510,0.00000000,0.00000000
excellent_qubit,100.836,0.00066130,0.00397511,0.00000000,0.00000000
excellent_qubit,101.338,0.00196395,0.00395521,0.00000000,0.00000000
excellent_qubit,101.839,0.00120839,0.00393542,0.00000000,0.00000000
excellent_qubit,102.341,0.00257759,0.00391573,0.00000000,0.00000000
excellent_qubit,102.843,0.00037378,0.00389613,0.00000000,0.00000000
excellent_qubit,103.344,0.00059339,0.00387663,0.00000000,0.00000000
excellent_qubit,103.846,0.00198457,0.00385724,0.00000000,0.00000000
excellent_qubit,104.348,0.00123904,0.00383793,0.00000000,0.00000000
excellent_qubit,104.849,0.00254120,0.00381873,0.00000000,0.00000000
excellent_qubit,105.351,0.00034982,0.00379962,0.00000000,0.00000000
excellent_qubit,105.853,0.00052595,0.00378060,0.00000000,0.00000000
excellent_qubit,106.355,0.00200488,0.00376169,0.00000000,0.00000000
excellent_qubit,106.856,0.00126808,0.00374286,0.00000000,0.00000000
excellent_qubit,107.358,0.00250415,0.00372413,0.00000000,0.00000000
excellent_qubit,107.860,0.00032476,0.00370550,0.00000000,0.00000000
excellent_qubit,108.361,0.00045899,0.00368695,0.00000000,0.00000000
excellent_qubit,108.863,0.00202483,0.00366850,0.00000000,0.00000000
excellent_qubit,109.365,0.00129551,0.00365015,0.00000000,0.00000000
excellent_qubit,109.866,0.00246643,0.00363188,0.00000000,0.00000000
excellent_qubit,110.368,0.00029862,0.00361370,0.00000000,0.00000000
excellent_qubit,110.870,0.00039254,0.00359562,0.00000000,0.00000000
excellent_qubit,111.371,0.00204439,0.00357763,0.00000000,0.00000000
excellent_qubit,111.873,0.00132132,0.00355973,0.00000000,0.00000000
excellent_qubit,112.375,0.00242805,0.00354191,0.00000000,0.00000000
excellent_qubit,112.876,0.00027145,0.00352419,0.00000000,0.00000000
excellent_qubit,113.378,0.00032662,0.00350655,0.00000000,0.00000000
excellent_qubit,113.880,0.00206350,0.00348901,0.00000000,0.00000000
excellent_qubit,114.381,0.00134551,0.00347155,0.00000000,0.00000000
excellent_qubit,114.883,0.00238902,0.00345417,0.00000000,0.00000000
excellent_qubit,115.385,0.00024328,0.00343689,0.00000000,0.00000000
excellent_qubit,115.886,0.00026126,0.00341969,0.00000000,0.00000000
excellent_qubit,116.388,0.00208213,0.00340258,0.00000000,0.00000000
excellent_qubit,116.890,0.00136808,0.00338555,0.00000000,0.00000000
excellent_qubit,117.391,0.00234932,0.00336861,0.00000000,0.00000000
excellent_qubit,117.893,0.00021414,0.00335175,0.00000000,0.00000000
excellent_qubit,118.395,0.00019648,0.00333498,0.00000000,0.00000000
excellent_qubit,118.896,0.00210024,0.00331829,0.00000000,0.00000000
excellent_qubit,119.398,0.00138903,0.00330169,0.00000000,0.00000000
excellent_qubit,119.900,0.00230897,0.00328516,0.00000000,0.00000000
excellent_qubit,120.401,0.00018408,0.00498595,0.00000000,0.00000000
excellent_qubit,120.903,0.00013230,0.00742107,0.00000000,0.00000000
