time_us,gaussian_soft_entanglement,gaussian_soft_purity,gaussian_soft_leakage,DRAG_aggressive_entanglement,DRAG_aggressive_purity,DRAG_aggressive_leakage,chirped_brutal_entanglement,chirped_brutal_purity,chirped_brutal_leakage,bang_bang_entanglement,bang_bang_purity,bang_bang_leakage
1.054,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.105,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.155,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.205,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.255,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.305,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.356,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.406,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.456,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.506,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.556,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.607,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.657,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
